"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","14","16","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","14","16","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","69","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","69","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","85","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","85","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"7","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_AssessmentFetcher.cls","97","16","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaregiverService.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"9","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaregiverService.cls","1","8","CyclomaticComplexity","The class 'BI_PSPB_CaregiverService' has a total cyclomatic complexity of 51 (highest 5).","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"10","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaregiverService.cls","1","8","ExcessivePublicCount","The class BI_PSPB_CaregiverService has 26 public methods, attributes, and properties (limit: 20)","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_design.html#excessivepubliccount","Design","pmd"
"11","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaregiverService.cls","6","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"12","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaregiverService.cls","21","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","3","C:\Users\CVHS\SF_Projects\SonarCode\SonarCode\force-app\main\default\classes\BI_PSPB_CaregiverService.cls","46","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.1.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
